PGN(
  (net): Sequential(
    (0): Linear(in_features=8, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): ReLU()
    (4): Linear(in_features=128, out_features=4, bias=True)
  )
)
113760: reward: -11.45, mean_100:   6.77, episodes: 354
113884: reward: -18.88, mean_100:   4.47, episodes: 355
113980: reward:   1.47, mean_100:   2.88, episodes: 356
114461: reward: 195.29, mean_100:   3.36, episodes: 357
114677: reward:  33.88, mean_100:   2.51, episodes: 358
114786: reward: -32.32, mean_100:  -0.11, episodes: 359
115039: reward:  25.30, mean_100:  -1.81, episodes: 360
115140: reward: -42.92, mean_100:  -4.19, episodes: 361
115245: reward: -45.13, mean_100:  -4.04, episodes: 362
115583: reward: 217.53, mean_100:  -0.88, episodes: 363
115802: reward:  -4.45, mean_100:   0.90, episodes: 364
116070: reward: 181.69, mean_100:   3.77, episodes: 365
116707: reward: 141.60, mean_100:   6.22, episodes: 366
116913: reward: -537.66, mean_100:   2.14, episodes: 367
117289: reward: -105.98, mean_100:   2.36, episodes: 368
117440: reward: -37.77, mean_100:   0.54, episodes: 369
117585: reward: -51.47, mean_100:  -0.54, episodes: 370
117767: reward: -50.19, mean_100:  -2.55, episodes: 371
117874: reward:   7.51, mean_100:  -1.62, episodes: 372
118101: reward: -31.18, mean_100:  -0.19, episodes: 373
118462: reward: 127.90, mean_100:   2.47, episodes: 374
118848: reward: -473.64, mean_100:  -1.61, episodes: 375
118992: reward:  -1.71, mean_100:  -0.91, episodes: 376
119132: reward: -29.78, mean_100:  -0.63, episodes: 377
119485: reward: -177.48, mean_100:  -1.52, episodes: 378
120466: reward: 113.94, mean_100:   0.42, episodes: 379
120681: reward:  19.45, mean_100:   0.67, episodes: 380
120968: reward: 257.85, mean_100:   3.73, episodes: 381
121969: reward: 133.50, mean_100:   3.16, episodes: 382
122970: reward: 115.08, mean_100:   4.38, episodes: 383
123107: reward:  56.66, mean_100:   5.98, episodes: 384
124077: reward: 230.18, mean_100:   7.68, episodes: 385
124512: reward: 234.58, mean_100:   7.91, episodes: 386
125513: reward: 116.04, mean_100:  10.03, episodes: 387
126514: reward: 126.33, mean_100:  12.44, episodes: 388
126671: reward:  32.04, mean_100:  13.59, episodes: 389
127672: reward: 142.59, mean_100:  13.43, episodes: 390
128673: reward: 122.53, mean_100:  15.36, episodes: 391
129674: reward: 124.55, mean_100:  16.97, episodes: 392
129825: reward:  15.40, mean_100:  14.93, episodes: 393
130826: reward: 133.74, mean_100:  16.57, episodes: 394
131827: reward: 141.55, mean_100:  18.50, episodes: 395
132828: reward: -440.77, mean_100:  14.93, episodes: 396
133829: reward: -26.68, mean_100:  14.95, episodes: 397
134830: reward: -81.40, mean_100:  14.38, episodes: 398
135831: reward: -101.25, mean_100:  13.85, episodes: 399
136832: reward: -84.45, mean_100:  13.59, episodes: 400
137833: reward: -65.83, mean_100:  13.48, episodes: 401
138834: reward:  67.53, mean_100:  14.91, episodes: 402
139124: reward:  26.40, mean_100:  15.51, episodes: 403
139805: reward: -105.78, mean_100:  14.94, episodes: 404
140806: reward:  97.21, mean_100:  16.64, episodes: 405
141112: reward: 201.73, mean_100:  19.18, episodes: 406
141389: reward: 182.55, mean_100:  21.06, episodes: 407
141495: reward: -591.21, mean_100:  15.61, episodes: 408
141645: reward: -45.30, mean_100:  15.45, episodes: 409
141873: reward: -32.31, mean_100:  15.60, episodes: 410
142343: reward: 212.01, mean_100:  16.47, episodes: 411
142590: reward: -575.82, mean_100:   8.44, episodes: 412
142880: reward: -473.08, mean_100:   4.23, episodes: 413
143456: reward: -573.93, mean_100:  -2.63, episodes: 414
143609: reward: -49.95, mean_100:  -3.05, episodes: 415
143885: reward: -470.73, mean_100: -10.18, episodes: 416
144003: reward: -624.46, mean_100: -16.66, episodes: 417
144135: reward: -580.07, mean_100: -24.74, episodes: 418
144490: reward: 210.07, mean_100: -22.63, episodes: 419
145137: reward: 162.63, mean_100: -22.20, episodes: 420
145303: reward: -247.07, mean_100: -25.64, episodes: 421
145489: reward: -348.32, mean_100: -30.18, episodes: 422
145632: reward: -20.31, mean_100: -30.05, episodes: 423
145764: reward: -11.14, mean_100: -30.03, episodes: 424
145894: reward:   1.63, mean_100: -30.69, episodes: 425
146109: reward: 222.95, mean_100: -30.25, episodes: 426
146219: reward: -46.69, mean_100: -29.94, episodes: 427
146447: reward: 246.79, mean_100: -27.32, episodes: 428
146649: reward: -42.63, mean_100: -27.68, episodes: 429
147076: reward: -137.08, mean_100: -29.06, episodes: 430
147335: reward: 232.95, mean_100: -27.31, episodes: 431
147489: reward: -73.26, mean_100: -29.63, episodes: 432
147650: reward:  10.29, mean_100: -30.94, episodes: 433
147764: reward:  63.97, mean_100: -28.58, episodes: 434
147898: reward: -32.12, mean_100: -27.60, episodes: 435
148045: reward:  43.77, mean_100: -25.96, episodes: 436
