6001473: reward: 161.38, mean_100:  63.22, episodes: 10170
6002474: reward:  53.92, mean_100:  63.16, episodes: 10171
6003475: reward:  73.65, mean_100:  63.67, episodes: 10172
6004476: reward:  67.50, mean_100:  63.81, episodes: 10173
6005477: reward:  50.24, mean_100:  63.64, episodes: 10174
6006132: reward: 170.82, mean_100:  65.16, episodes: 10175
6007133: reward:  63.28, mean_100:  65.17, episodes: 10176
6008134: reward:  65.41, mean_100:  64.16, episodes: 10177
6009135: reward:  56.96, mean_100:  64.75, episodes: 10178
6010136: reward:  67.54, mean_100:  64.79, episodes: 10179
6011137: reward:  71.05, mean_100:  64.84, episodes: 10180
6012138: reward: 105.52, mean_100:  64.29, episodes: 10181
6013139: reward:  87.70, mean_100:  65.07, episodes: 10182
6014140: reward:  76.91, mean_100:  65.78, episodes: 10183
6015141: reward:  90.01, mean_100:  66.01, episodes: 10184
6016142: reward:  70.88, mean_100:  66.35, episodes: 10185
6017143: reward: 104.70, mean_100:  67.08, episodes: 10186
6017637: reward: 211.28, mean_100:  69.24, episodes: 10187
6018638: reward:  72.20, mean_100:  69.59, episodes: 10188
6019639: reward:  38.42, mean_100:  70.02, episodes: 10189
6020640: reward:  53.71, mean_100:  69.07, episodes: 10190
6021032: reward: 170.29, mean_100:  69.25, episodes: 10191
6022033: reward:  60.97, mean_100:  69.71, episodes: 10192
6023034: reward:  75.83, mean_100:  69.91, episodes: 10193
6024035: reward:  87.22, mean_100:  70.78, episodes: 10194
6025036: reward:  61.26, mean_100:  71.02, episodes: 10195
6026037: reward:  32.86, mean_100:  70.92, episodes: 10196
6027038: reward:  77.06, mean_100:  70.41, episodes: 10197
6028039: reward: 113.05, mean_100:  70.70, episodes: 10198
6029040: reward:  37.65, mean_100:  71.15, episodes: 10199
6030041: reward:  86.56, mean_100:  72.09, episodes: 10200
6031042: reward:  72.26, mean_100:  72.43, episodes: 10201
6032043: reward:  69.50, mean_100:  71.90, episodes: 10202
6033044: reward:  82.06, mean_100:  72.73, episodes: 10203
6034045: reward:  81.71, mean_100:  73.22, episodes: 10204
6035046: reward: 105.41, mean_100:  73.72, episodes: 10205
6036047: reward:  96.92, mean_100:  73.09, episodes: 10206
6037048: reward: 102.07, mean_100:  73.28, episodes: 10207
6038049: reward:  56.02, mean_100:  73.91, episodes: 10208
6039050: reward: 103.88, mean_100:  75.01, episodes: 10209
6040051: reward:  74.09, mean_100:  76.11, episodes: 10210
6041052: reward:  47.49, mean_100:  75.48, episodes: 10211
6042053: reward:  95.42, mean_100:  75.97, episodes: 10212
6043054: reward:  39.01, mean_100:  76.41, episodes: 10213
6044055: reward:  48.23, mean_100:  75.93, episodes: 10214
6045056: reward:  90.38, mean_100:  76.72, episodes: 10215
6046057: reward: 111.57, mean_100:  76.91, episodes: 10216
6047058: reward: 118.04, mean_100:  76.69, episodes: 10217
6048059: reward:  79.02, mean_100:  77.77, episodes: 10218
6049060: reward: 112.77, mean_100:  78.79, episodes: 10219
6050061: reward:  92.92, mean_100:  79.50, episodes: 10220
6051062: reward:  62.75, mean_100:  80.21, episodes: 10221
6052063: reward: 100.00, mean_100:  79.90, episodes: 10222
6053064: reward:  75.73, mean_100:  80.68, episodes: 10223
6054065: reward:  72.15, mean_100:  80.28, episodes: 10224
6055066: reward: 112.52, mean_100:  80.16, episodes: 10225
6056067: reward:  98.52, mean_100:  80.93, episodes: 10226
6057068: reward:  80.21, mean_100:  81.73, episodes: 10227
6057823: reward: 202.93, mean_100:  83.95, episodes: 10228
6058432: reward: 199.70, mean_100:  86.12, episodes: 10229
6059433: reward:  49.81, mean_100:  85.05, episodes: 10230
6060434: reward: 132.55, mean_100:  85.35, episodes: 10231
6061435: reward:  67.47, mean_100:  85.21, episodes: 10232
6062436: reward:  89.27, mean_100:  84.53, episodes: 10233
6063437: reward: 107.66, mean_100:  85.54, episodes: 10234
6064438: reward:  86.22, mean_100:  86.04, episodes: 10235
6065439: reward: 128.85, mean_100:  86.22, episodes: 10236
6066440: reward: 104.22, mean_100:  86.98, episodes: 10237
6067441: reward:  64.46, mean_100:  87.43, episodes: 10238
6068442: reward: 110.00, mean_100:  86.65, episodes: 10239
6069443: reward:  81.57, mean_100:  86.08, episodes: 10240
6070444: reward: 112.71, mean_100:  85.83, episodes: 10241
6071445: reward:  80.61, mean_100:  86.41, episodes: 10242
6072446: reward:  78.08, mean_100:  87.00, episodes: 10243
6073447: reward:  88.74, mean_100:  86.93, episodes: 10244
6074448: reward:  72.01, mean_100:  87.07, episodes: 10245
6075449: reward: 112.74, mean_100:  86.57, episodes: 10246
6076450: reward:  58.31, mean_100:  85.59, episodes: 10247
6077451: reward:  80.34, mean_100:  85.98, episodes: 10248
6078452: reward: 100.82, mean_100:  86.56, episodes: 10249
6079453: reward:  85.29, mean_100:  85.71, episodes: 10250
6079800: reward: 179.87, mean_100:  85.90, episodes: 10251
6080096: reward: 242.61, mean_100:  88.04, episodes: 10252
6080471: reward: 199.71, mean_100:  89.17, episodes: 10253
6081472: reward:  83.43, mean_100:  89.27, episodes: 10254
6082473: reward:  93.96, mean_100:  89.68, episodes: 10255
6083474: reward:  67.15, mean_100:  90.03, episodes: 10256
6083886: reward: 243.32, mean_100:  91.94, episodes: 10257
6084259: reward: 205.53, mean_100:  93.32, episodes: 10258
6085260: reward:  82.49, mean_100:  93.32, episodes: 10259
6086261: reward: 112.03, mean_100:  94.03, episodes: 10260
6086528: reward:   3.41, mean_100:  93.31, episodes: 10261
6087529: reward: 101.49, mean_100:  93.36, episodes: 10262
