PGN(
  (net): Sequential(
    (0): Linear(in_features=8, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=4, bias=True)
  )
)
42280: reward:  17.88, mean_100: -97.55, episodes: 270
42471: reward: -40.68, mean_100: -97.67, episodes: 271
42663: reward:  -1.10, mean_100: -96.77, episodes: 272
43038: reward: -98.20, mean_100: -95.29, episodes: 273
43339: reward: -33.45, mean_100: -92.29, episodes: 274
43564: reward: -76.03, mean_100: -89.62, episodes: 275
43871: reward: -215.67, mean_100: -91.28, episodes: 276
44124: reward: -38.62, mean_100: -89.51, episodes: 277
44341: reward:   6.64, mean_100: -87.25, episodes: 278
44581: reward: -35.96, mean_100: -87.13, episodes: 279
44719: reward: -36.17, mean_100: -85.34, episodes: 280
44861: reward:  14.09, mean_100: -84.67, episodes: 281
45145: reward: -22.44, mean_100: -84.63, episodes: 282
45325: reward: -36.61, mean_100: -84.08, episodes: 283
45587: reward: -125.02, mean_100: -84.41, episodes: 284
45749: reward: -150.51, mean_100: -85.65, episodes: 285
46016: reward: -16.95, mean_100: -84.87, episodes: 286
46265: reward: -59.17, mean_100: -84.60, episodes: 287
46636: reward: -161.46, mean_100: -83.54, episodes: 288
47070: reward: -42.05, mean_100: -82.98, episodes: 289
47570: reward: -81.23, mean_100: -83.20, episodes: 290
47786: reward: -265.17, mean_100: -84.78, episodes: 291
48219: reward: -412.98, mean_100: -87.97, episodes: 292
48374: reward: -27.72, mean_100: -87.19, episodes: 293
48572: reward: -119.45, mean_100: -87.41, episodes: 294
48725: reward:  25.06, mean_100: -85.56, episodes: 295
49726: reward: -11.79, mean_100: -83.11, episodes: 296
49922: reward:  -8.90, mean_100: -82.53, episodes: 297
50200: reward: -49.43, mean_100: -82.01, episodes: 298
51201: reward:  33.72, mean_100: -80.28, episodes: 299
51346: reward: -44.11, mean_100: -77.18, episodes: 300
51530: reward: -95.33, mean_100: -77.86, episodes: 301
51684: reward: -62.53, mean_100: -77.26, episodes: 302
51903: reward: -157.51, mean_100: -78.01, episodes: 303
52102: reward:  52.77, mean_100: -76.11, episodes: 304
52219: reward:  23.57, mean_100: -73.56, episodes: 305
52333: reward: -22.12, mean_100: -73.13, episodes: 306
52573: reward: -50.71, mean_100: -73.18, episodes: 307
52839: reward: -92.99, mean_100: -73.93, episodes: 308
53143: reward: -72.09, mean_100: -73.84, episodes: 309
53741: reward: -180.05, mean_100: -75.16, episodes: 310
54354: reward: -326.58, mean_100: -77.48, episodes: 311
54722: reward: -271.84, mean_100: -80.79, episodes: 312
55120: reward: -209.88, mean_100: -82.78, episodes: 313
55413: reward: -112.87, mean_100: -82.29, episodes: 314
55559: reward:  35.99, mean_100: -80.56, episodes: 315
55903: reward: -35.29, mean_100: -79.56, episodes: 316
56188: reward:  26.48, mean_100: -75.95, episodes: 317
57189: reward:  31.00, mean_100: -75.17, episodes: 318
57335: reward: -114.17, mean_100: -75.55, episodes: 319
58336: reward:  47.13, mean_100: -73.62, episodes: 320
58885: reward: -60.16, mean_100: -73.88, episodes: 321
59886: reward:  14.25, mean_100: -73.94, episodes: 322
60339: reward: -144.78, mean_100: -75.09, episodes: 323
60750: reward: -23.32, mean_100: -75.37, episodes: 324
61003: reward: -28.13, mean_100: -75.44, episodes: 325
61340: reward: -15.40, mean_100: -75.79, episodes: 326
61615: reward:  17.99, mean_100: -75.01, episodes: 327
62616: reward: -24.43, mean_100: -74.99, episodes: 328
62831: reward: -22.31, mean_100: -74.94, episodes: 329
63042: reward:  32.57, mean_100: -73.59, episodes: 330
63478: reward: -62.47, mean_100: -72.67, episodes: 331
63791: reward: -82.67, mean_100: -72.45, episodes: 332
64792: reward: 128.34, mean_100: -69.10, episodes: 333
65076: reward:   7.73, mean_100: -68.33, episodes: 334
65349: reward:  -8.31, mean_100: -68.20, episodes: 335
65706: reward: -52.22, mean_100: -68.73, episodes: 336
66707: reward:  17.73, mean_100: -67.55, episodes: 337
66947: reward:  53.09, mean_100: -67.08, episodes: 338
67948: reward:  23.50, mean_100: -65.28, episodes: 339
